fix_id|fault_id|fix_title|probability_rank|difficulty_level|est_parts_cost_min_usd|est_parts_cost_max_usd|est_labor_hours|step_by_step_instructions
1|1|Verify the auxiliary output's parameter assignment with a diagnostic tool|1|Dealer / specialist|0.0|150.0|0.8|1. Connect a dealer-level diagnostic tool and read the auxiliary output configuration • 2. Confirm it matches the solenoid actually wired on the truck • 3. Correct the parameter and clear codes
2|1|Replace the assigned solenoid valve|2|Fleet technician|60.0|300.0|1.3|1. Tag and disconnect the air line and electrical connector • 2. Remove and replace the diff lock, transfer case, trailer or 3/2 valve solenoid • 3. Leak-check, clear codes and function-test
3|1|Identify the assigned solenoid and inspect its connector|3|Fleet technician|0.0|15.0|0.5|1. Use the diagnostic tool to read which function (diff lock, transfer case, trailer, 3/2 valve) the output is configured for • 2. Locate and inspect that solenoid's connector for corrosion • 3. Clean, reconnect and clear codes
4|1|Test the auxiliary output driver circuit for a short or open|4|Fleet technician|5.0|70.0|1.2|1. Back-probe the output pin at the ECU and measure resistance to the solenoid coil • 2. Check for a short to ground or voltage along the harness • 3. Repair the wiring and re-test
261|66|Re-seat and gauge the sensor air gap|1|Fleet technician|0.0|10.0|0.5|1. Loosen the sensor and push it fully against the tone ring • 2. Back it off per spec and lock it, checking with a 0.4 mm (0.016 in) feeler gauge • 3. Clear codes and road-test
262|66|Inspect and adjust wheel-bearing end play|2|Fleet technician|0.0|150.0|1.2|1. Jack the wheel and check for play with a dial indicator • 2. Re-torque or re-adjust the bearing per the axle spec, replacing bearings if worn • 3. Re-check the sensor air gap after adjustment
263|66|Replace a chipped or bent tone (exciter) ring|3|Fleet technician|60.0|220.0|1.5|1. Remove the hub/axle assembly needed to access the tone ring • 2. Press off the damaged ring and press on the replacement • 3. Reassemble, set the sensor air gap and road-test
264|66|Replace the wheel-speed sensor and mounting clip/bushing|4|Fleet technician|45.0|130.0|0.7|1. Remove the worn sensor and its mounting bushing or clip • 2. Install the new sensor and bushing, seating it fully • 3. Set the air gap, clear codes and road-test
566|131|Re-seat and gauge the sensor air gap|1|Fleet technician|0.0|10.0|0.5|1. Loosen the sensor and push it fully against the tone ring • 2. Back it off per spec and lock it, checking with a 0.4 mm (0.016 in) feeler gauge • 3. Clear codes and road-test
567|131|Inspect and adjust wheel-bearing end play|2|Fleet technician|0.0|150.0|1.2|1. Jack the wheel and check for play with a dial indicator • 2. Re-torque or re-adjust the bearing per the axle spec, replacing bearings if worn • 3. Re-check the sensor air gap after adjustment
568|131|Replace a chipped or bent tone (exciter) ring|3|Fleet technician|60.0|220.0|1.5|1. Remove the hub/axle assembly needed to access the tone ring • 2. Press off the damaged ring and press on the replacement • 3. Reassemble, set the sensor air gap and road-test
569|131|Replace the wheel-speed sensor and mounting clip/bushing|4|Fleet technician|45.0|130.0|0.7|1. Remove the worn sensor and its mounting bushing or clip • 2. Install the new sensor and bushing, seating it fully • 3. Set the air gap, clear codes and road-test
821|196|Clean the tone ring and check sensor mounting security|1|Fleet technician|0.0|40.0|0.8|1. Remove debris and metal fines from the tone ring teeth • 2. Confirm the sensor is fully seated and not vibrating loose • 3. Clear codes and road-test through a speed range
822|196|Replace a mismatched tire so the axle set matches|2|Fleet technician|400.0|900.0|1.5|1. Identify the tire(s) that do not match the axle set • 2. Replace with a correctly sized/matched tire • 3. Re-verify sizes and pressures, then clear codes
823|196|Replace a worn or damaged tone ring|3|Fleet technician|60.0|220.0|1.5|1. Access and remove the damaged tone ring • 2. Press on the replacement ring • 3. Reassemble, set the air gap and road-test
824|196|Verify matched tire sizes and pressures across the axle|4|Driver check|0.0|0.0|0.3|1. Measure rolling circumference or check size/load ratings on each tire of the axle • 2. Correct pressure to spec on all positions • 3. Note any mismatched tire for replacement
825|196|Verify wheel-speed sensor wiring matches the correct wheel position|5|Fleet technician|0.0|0.0|0.5|1. Confirm each sensor connector is routed to its labeled ECU pin • 2. Correct any swapped or reversed left/right connections • 3. Clear codes and road-test
1077|261|Inspect and clean the HSA valve/lamp connector|1|Fleet technician|0.0|15.0|0.4|1. Key off, unplug the HSA valve or lamp connector • 2. Check pins for corrosion and spread terminals • 3. Clean, reconnect and clear codes
1078|261|Test the HSA solenoid and lamp driver circuits|2|Fleet technician|5.0|60.0|1.0|1. Back-probe the HSA solenoid and lamp driver pins at the ECU • 2. Check for a short to ground or voltage, and for continuity to the component • 3. Repair the wiring and re-test
1079|261|Replace the HSA holding valve solenoid|3|Fleet technician|80.0|220.0|0.8|1. Tag and disconnect the air line and electrical connector • 2. Remove and replace the HSA valve, torquing fittings per spec • 3. Leak-check, clear codes and function-test on a grade
1330|326|Inspect and clean the accelerator pedal position sensor connector|1|Fleet technician|0.0|15.0|0.5|1. Key off, unplug the sensor connector • 2. Check pins for corrosion, bent terminals or oil/coolant intrusion • 3. Apply dielectric grease, reseat, clear codes
1331|326|Test the accelerator pedal position sensor signal and supply circuits|2|Fleet technician|5.0|60.0|1.3|1. Back-probe signal, ground and supply-voltage pins at the ECU connector • 2. Check for opens, shorts and correct reference voltage • 3. Repair chafed wiring or corroded splices, clear codes
1332|326|Replace the accelerator pedal position sensor|3|Fleet technician|30.0|220.0|0.9|1. Verify sensor air-gap or mounting per OEM spec • 2. Remove and replace the sensor and O-ring/seal • 3. Set the correct gap or torque, clear codes and verify signal quality on a scan tool
1333|326|Check the sensed target (gear teeth, reluctor ring, linkage) for damage|4|Dealer / specialist|0.0|600.0|1.5|1. Inspect the reluctor wheel, gear teeth or mechanical linkage the sensor reads for damage, debris or wear • 2. Repair or replace the damaged component • 3. Reinstall the sensor, clear codes and verify
1582|391|Inspect and clean the fuel rail (common rail) pressure sensor connector|1|Fleet technician|0.0|15.0|0.5|1. Key off, unplug the sensor connector • 2. Check pins for corrosion, bent terminals or moisture intrusion • 3. Apply dielectric grease, reseat the connector, clear codes and recheck live data
1583|391|Test the fuel rail (common rail) pressure sensor signal, ground and reference circuits|2|Fleet technician|5.0|60.0|1.2|1. Back-probe the signal, ground and 5V/8V reference pins at the ECU connector • 2. Check for opens, shorts to ground/battery and resistance in range • 3. Repair chafed or corroded wiring, reseal splices, clear codes
